patente;tipo;bloqueante;veredicto;fecha_correcta;tiene_la_base;calza;evidencia
BOM-MP-002;calibracion;;ILEGIBLE;;Sun Mar 15;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/cal_bom_mp_002.pdf"
DCHD-83;analisis_gases;;ILEGIBLE;;Wed Jun 03;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DCHD-83;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Especificaciones Técnicas & Equipamiento | DIMENSIONES (mm) Canter 4T Canter 5T | Largo/Ancho/Alto 6,030 / 2,035 / 2,245 6,750 / 2,035 / 2,245"
DCHD-83;hermeticidad;SI;DECLARA;2026-07-27;Mon Jul 27;NO;"Fecha de vencimiento lunes, 27 de julio de 2026"
DCHD-83;inscripcion_sec;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DCHD-83;laminas_seguridad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DCHD-83;mantencion;;NO DECLARA;SIN VENCIMIENTO;Thu Feb 15;si;"FICHA DE MANTENIMIENTO CANTER 7.5 FE85D | MOTOR 4M50 EURO IV | Intervalos de mantenimiento"
DCHD-83;padron;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DCHD-83;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 DC-HD83-5"
DCHD-83;revision_tecnica;SI;ILEGIBLE;;Sat Nov 28;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DCHD-83;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783721-1 Póliza N°"
DCHD-83;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
DCHD-83;tc8_sec;SI;ILEGIBLE;;Wed Mar 06;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DJKL-18;aire_acondicionado;;NO DECLARA;SIN VENCIMIENTO;Tue Aug 08;si;"OPLLADO | Coquimbo, 27 de enero de 2026 EMPRESAS | CERTIFICADO DE MANTENCION DE AIRE"
DJKL-18;analisis_gases;;ILEGIBLE;;Wed Dec 30;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DJKL-18;ausencia_falla_ecm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLADO | EMPRESAS Coquimbo, 20 de enero de 2026 | CERTIFICADO DE AUSENCIA DE CODIGOS DE"
DJKL-18;calibracion;;ILEGIBLE;;Wed Aug 18;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DJKL-18;cert_cabina;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
DJKL-18;flujo_descarga;;ILEGIBLE;;Wed Aug 18;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
