patente;tipo;bloqueante;veredicto;dice_el_papel;dice_el_sistema;contraste;regla;evidencia
DCHD-83;hermeticidad;SI;DECLARA;2026-07-27;2026-07-27;coincide;linea_lo_dice;"Fecha de vencimiento lunes, 27 de julio de 2026"
DCHD-83;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 DC-HD83-5"
DCHD-83;revision_tecnica;SI;ILEGIBLE;;2026-11-28;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
DCHD-83;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738411860DCHD83 → Canter 7.5 2011 77316540-8 01/10/2025 30/09/2026"
DCHD-83;tc8_sec;SI;ILEGIBLE;;2030-03-06;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
DJKL-18;hermeticidad;SI;ILEGIBLE;;2026-06-29;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
DJKL-18;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 DJ-KL18-7"
DJKL-18;revision_tecnica;SI;ILEGIBLE;;2026-12-30;sin_dictamen;;"Escaneo sin texto y sin imagen recuperable del PDF."
DJKL-18;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738536092DJKL18 → Actros 3341 2012 77316540-8 01/10/2025 30/09/2026"
DJKL-18;tc8_sec;SI;ILEGIBLE;;2026-12-31;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
EST-MP-001;seremi;SI;ERROR;;2026-04-15;sin_dictamen;;"Failed to parse URL from /certificaciones/demo/seremi_est_mp_001.pdf"
EST-PE-001;sec;SI;ERROR;;2026-03-01;sin_dictamen;;"Failed to parse URL from /certificaciones/demo/sec_est_pe_001.pdf"
FJTJ-60;hermeticidad;SI;ILEGIBLE;;2026-04-01;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
FJTJ-60;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 FJ-TJ60-7"
FJTJ-60;revision_tecnica;SI;ILEGIBLE;;2027-02-03;sin_dictamen;;"El archivo es una imagen JPG, no un PDF. Hay que leerla a ojo."
FJTJ-60;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738760701FJTJ60 → Atego 1624A 4x4 2013 77316540-8 01/10/2025 30/09/2026"
FJTJ-60;tc8_sec;SI;ILEGIBLE;;2030-03-06;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
FJTJ-61;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 FJ-TJ61-5"
FJTJ-61;revision_tecnica;SI;ILEGIBLE;;2027-01-09;sin_dictamen;;"El archivo es una imagen PNG, no un PDF. Hay que leerla a ojo."
FJTJ-61;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738313031FJTJ61 → Atego 1624A 4x4 2013 77316540-8 01/10/2025 30/09/2026"
FSLZ-67;hermeticidad;SI;ILEGIBLE;;2026-09-25;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
FSLZ-67;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 FS-LZ67-6"
FSLZ-67;revision_tecnica;SI;ILEGIBLE;;2026-12-26;sin_dictamen;;"El archivo es una imagen PNG, no un PDF. Hay que leerla a ojo."
FSLZ-67;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738621018FSLZ67 → Actros 3341 2013 77316540-8 01/10/2025 30/09/2026"
FSLZ-67;tc8_sec;SI;ILEGIBLE;;2028-12-31;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
GCHT-12;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 GC-HT12-K"
GCHT-12;revision_tecnica;SI;ILEGIBLE;;2026-08-19;sin_dictamen;;"Escaneo sin texto y sin imagen recuperable del PDF."
GCHT-12;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738575677GCHT12 → GU813E Mec 2014 77316540-8 01/10/2025 30/09/2026"
GCSY-66;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 GC-SY66-9"
GCSY-66;revision_tecnica;SI;ILEGIBLE;;2029-05-29;sin_dictamen;;"Escaneo sin texto. Se extrajo la página para leerla a ojo."
GCSY-66;soap;SI;DECLARA;2026-09-30;2026-09-30;coincide;cabecera_desde_hasta;"MODELO AÑO RUT RIGE DESDE HASTA 9738315850GCSY66 → 02-7FDA50 2014 77316540-8 01/10/2025 30/09/2026"
GGHB-32;permiso_circulacion;SI;DECLARA;2026-09-30;2026-09-30;coincide;etiqueta_y_fila;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 GG-HB32-9"
